Num Nodes, Name[No Query], KAT size[No Query], Temp size[No Query], Num Queries[No Query], Rules[No Query], Rules opt1[No Query], Rules opt2[No Query], Tags[No Query], Time(Total)[No Query], Time(Temporal Automaton)[No Query], Time (Policy Automaton)[No Query], Time (Determinization)[No Query], Time (Minimize)[No Query], Time (Intersection)[No Query], Time (Extraction)[No Query], Time (Rule Gen)[No Query], Name[Congested], KAT size[Congested], Temp size[Congested], Num Queries[Congested], Rules[Congested], Rules opt1[Congested], Rules opt2[Congested], Tags[Congested], Time(Total)[Congested], Time(Temporal Automaton)[Congested], Time (Policy Automaton)[Congested], Time (Determinization)[Congested], Time (Minimize)[Congested], Time (Intersection)[Congested], Time (Extraction)[Congested], Time (Rule Gen)[Congested], Name[DDOS], KAT size[DDOS], Temp size[DDOS], Num Queries[DDOS], Rules[DDOS], Rules opt1[DDOS], Rules opt2[DDOS], Tags[DDOS], Time(Total)[DDOS], Time(Temporal Automaton)[DDOS], Time (Policy Automaton)[DDOS], Time (Determinization)[DDOS], Time (Minimize)[DDOS], Time (Intersection)[DDOS], Time (Extraction)[DDOS], Time (Rule Gen)[DDOS], Name[Port Matrix], KAT size[Port Matrix], Temp size[Port Matrix], Num Queries[Port Matrix], Rules[Port Matrix], Rules opt1[Port Matrix], Rules opt2[Port Matrix], Tags[Port Matrix], Time(Total)[Port Matrix], Time(Temporal Automaton)[Port Matrix], Time (Policy Automaton)[Port Matrix], Time (Determinization)[Port Matrix], Time (Minimize)[Port Matrix], Time (Intersection)[Port Matrix], Time (Extraction)[Port Matrix], Time (Rule Gen)[Port Matrix], Name[Pys. Isolation], KAT size[Pys. Isolation], Temp size[Pys. Isolation], Num Queries[Pys. Isolation], Rules[Pys. Isolation], Rules opt1[Pys. Isolation], Rules opt2[Pys. Isolation], Tags[Pys. Isolation], Time(Total)[Pys. Isolation], Time(Temporal Automaton)[Pys. Isolation], Time (Policy Automaton)[Pys. Isolation], Time (Determinization)[Pys. Isolation], Time (Minimize)[Pys. Isolation], Time (Intersection)[Pys. Isolation], Time (Extraction)[Pys. Isolation], Time (Rule Gen)[Pys. Isolation], Name[Simple Path], KAT size[Simple Path], Temp size[Simple Path], Num Queries[Simple Path], Rules[Simple Path], Rules opt1[Simple Path], Rules opt2[Simple Path], Tags[Simple Path], Time(Total)[Simple Path], Time(Temporal Automaton)[Simple Path], Time (Policy Automaton)[Simple Path], Time (Determinization)[Simple Path], Time (Minimize)[Simple Path], Time (Intersection)[Simple Path], Time (Extraction)[Simple Path], Time (Rule Gen)[Simple Path], Name[Slice Isolation], KAT size[Slice Isolation], Temp size[Slice Isolation], Num Queries[Slice Isolation], Rules[Slice Isolation], Rules opt1[Slice Isolation], Rules opt2[Slice Isolation], Tags[Slice Isolation], Time(Total)[Slice Isolation], Time(Temporal Automaton)[Slice Isolation], Time (Policy Automaton)[Slice Isolation], Time (Determinization)[Slice Isolation], Time (Minimize)[Slice Isolation], Time (Intersection)[Slice Isolation], Time (Extraction)[Slice Isolation], Time (Rule Gen)[Slice Isolation], 
19, Aarnet, 3142, 0, 0, 684, 343, 343, 1, 0.045026, 4e-06, 0.032773, 0.003009, 0.001024, 0., 0.005218, 0.00174, Aarnet, 3162, 10, 2, 3770, 3428, 2726, 10, 0.166865, 0.000386, 0.039889, 0.003225, 0.001003, 0.028313, 0.073534, 0.018901, Aarnet, 3178, 16, 4, 2399, 2057, 1715, 5, 0.153037, 0.000262, 0.037959, 0.003547, 0.001276, 0.048072, 0.051541, 0.009185, Aarnet, 3170, 4, 2, 1516, 1137, 417, 3, 0.113604, 8.2e-05, 0.038349, 0.006987, 0.001752, 0.02331, 0.036981, 0.005102, Aarnet, 3146, 40, 1, 722, 362, 362, 1, 0.075797, 0.002941, 0.044757, 0.006026, 0.003067, 0.00331, 0.013568, 0.000889, Aarnet, 3154, 2, 1, 1028, 686, 668, 2, 0.066447, 4.5e-05, 0.037106, 0.002967, 0.000956, 0.003897, 0.014313, 0.006229, Aarnet, 3234, 42, 2, 1406, 1046, 704, 2, 0.102819, 0.001948, 0.044296, 0.009692, 0.003348, 0.016272, 0.021376, 0.004728, 
11, Abilene, 1118, 0, 0, 220, 111, 111, 1, 0.010731, 3e-06, 0.007537, 0.000731, 0.000367, 0., 0.001526, 0.00019, Abilene, 1138, 10, 2, 1218, 1108, 878, 10, 0.054731, 0.000293, 0.008141, 0.00094, 0.000335, 0.011314, 0.027014, 0.005988, Abilene, 1138, 8, 2, 553, 443, 333, 3, 0.022748, 0.000153, 0.007761, 0.000878, 0.000291, 0.004156, 0.006597, 0.002288, Abilene, 1146, 4, 2, 524, 393, 153, 3, 0.031341, 8.6e-05, 0.011895, 0.00099, 0.000419, 0.005379, 0.009866, 0.002196, Abilene, 1122, 24, 1, 242, 122, 122, 1, 0.015343, 0.000789, 0.008433, 0.001575, 0.000591, 0.000547, 0.002559, 0.000437, Abilene, 1130, 2, 1, 332, 222, 212, 2, 0.018048, 4.4e-05, 0.007732, 0.000812, 0.000281, 0.003745, 0.004141, 0.000873, Abilene, 1178, 26, 2, 462, 342, 232, 2, 0.027962, 0.00063, 0.01028, 0.001687, 0.000691, 0.003436, 0.008511, 0.00207, 
23, Abvt, 4562, 0, 0, 1012, 507, 507, 1, 0.079338, 2e-06, 0.061336, 0.004866, 0.001788, 1e-06, 0.008687, 0.001302, Abvt, 4582, 10, 2, 5574, 5068, 4034, 10, 0.254584, 0.000319, 0.066184, 0.005048, 0.001868, 0.037551, 0.116026, 0.025958, Abvt, 4606, 20, 5, 4054, 3548, 3042, 6, 0.298785, 0.000335, 0.067535, 0.00654, 0.00221, 0.102242, 0.100671, 0.017368, Abvt, 4710, 8, 4, 3580, 2983, 871, 5, 0.392235, 0.00017, 0.076158, 0.010002, 0.00396, 0.131543, 0.151977, 0.016514, Abvt, 4566, 48, 1, 1058, 530, 530, 1, 0.125630, 0.004324, 0.073206, 0.013789, 0.004264, 0.004951, 0.021007, 0.002422, Abvt, 4574, 2, 1, 1520, 1014, 992, 2, 0.111211, 5.9e-05, 0.0673, 0.005182, 0.001705, 0.006352, 0.024249, 0.004664, Abvt, 4670, 50, 2, 2070, 1542, 1036, 2, 0.159845, 0.002216, 0.075425, 0.010257, 0.00373, 0.023769, 0.036947, 0.005993, 
23, Aconet, 4562, 0, 0, 1012, 507, 507, 1, 0.079920, 3e-06, 0.056895, 0.007827, 0.002812, 1e-06, 0.009095, 0.00157, Aconet, 4582, 10, 2, 5574, 5068, 4034, 10, 0.264660, 0.000315, 0.062524, 0.005442, 0.001709, 0.038501, 0.126433, 0.027977, Aconet, 4606, 20, 5, 4054, 3548, 3042, 6, 0.285708, 0.000374, 0.06655, 0.005697, 0.001884, 0.093299, 0.096727, 0.019188, Aconet, 4590, 4, 2, 2204, 1653, 597, 3, 0.161530, 0.000114, 0.065951, 0.00606, 0.001955, 0.029179, 0.04887, 0.007616, Aconet, 4566, 48, 1, 1058, 530, 530, 1, 0.122639, 0.004306, 0.076307, 0.014583, 0.003972, 0.003669, 0.016532, 0.001588, Aconet, 4574, 2, 1, 1520, 1014, 992, 2, 0.100093, 6e-05, 0.061174, 0.004894, 0.001837, 0.00629, 0.019461, 0.004702, Aconet, 4670, 50, 2, 2070, 1542, 1036, 2, 0.159042, 0.002308, 0.076812, 0.010398, 0.003793, 0.022774, 0.035452, 0.005974, 
25, Agis, 5314, 0, 0, 1200, 601, 601, 1, 0.100249, 4e-06, 0.075707, 0.00533, 0.002069, 1e-06, 0.012826, 0.00228, Agis, 5334, 10, 2, 6608, 6008, 4784, 10, 0.315235, 0.000299, 0.074613, 0.005706, 0.002317, 0.04296, 0.147833, 0.039668, Agis, 5366, 24, 6, 5407, 4807, 4207, 7, 0.441869, 0.000388, 0.074621, 0.007382, 0.002594, 0.168395, 0.151231, 0.03425, Agis, 5558, 10, 5, 5065, 4341, 1221, 6, 0.710974, 0.000187, 0.102982, 0.020167, 0.006026, 0.283624, 0.273046, 0.022778, Agis, 5318, 52, 1, 1250, 626, 626, 1, 0.134288, 0.004694, 0.087614, 0.010386, 0.004191, 0.003936, 0.01944, 0.0021, Agis, 5326, 2, 1, 1802, 1202, 1178, 2, 0.113587, 4.7e-05, 0.068339, 0.005191, 0.002008, 0.00666, 0.023732, 0.006099, Agis, 5430, 54, 2, 2450, 1826, 1226, 2, 0.176773, 0.002569, 0.085188, 0.011697, 0.004711, 0.022603, 0.039898, 0.007473, 
10, Ai3, 892, 0, 0, 180, 91, 91, 1, 0.009590, 3e-06, 0.007001, 0.000562, 0.000221, 2e-06, 0.001143, 0.000251, Ai3, 912, 10, 2, 998, 908, 719, 10, 0.039371, 0.000306, 0.006312, 0.000661, 0.000263, 0.005136, 0.020416, 0.005601, Ai3, 912, 8, 2, 453, 363, 273, 3, 0.017048, 0.00017, 0.006059, 0.000818, 0.000224, 0.00265, 0.005372, 0.001355, Ai3, 1400, 14, 7, 1426, 1267, 574, 8, 0.296645, 0.000259, 0.058212, 0.020318, 0.004619, 0.132097, 0.072149, 0.007452, Ai3, 896, 22, 1, 200, 101, 101, 1, 0.013579, 0.000886, 0.008725, 0.001048, 0.000406, 0.000355, 0.001529, 0.000183, Ai3, 904, 2, 1, 272, 182, 173, 2, 0.013631, 4.5e-05, 0.006154, 0.000606, 0.000243, 0.000621, 0.004803, 0.000811, Ai3, 948, 24, 2, 380, 281, 191, 2, 0.021266, 0.000594, 0.008505, 0.001209, 0.000541, 0.003756, 0.005056, 0.001046, 
16, Airtel, 2464, 0, 0, 480, 241, 241, 1, 0.032866, 3e-06, 0.023363, 0.002042, 0.001081, 1e-06, 0.004385, 0.001143, Airtel, 2484, 10, 2, 2648, 2408, 1913, 10, 0.119409, 0.000342, 0.019896, 0.002303, 0.000706, 0.023251, 0.060745, 0.011002, Airtel, 2500, 16, 4, 1685, 1445, 1205, 5, 0.118747, 0.000267, 0.026113, 0.00541, 0.001189, 0.038683, 0.035192, 0.010783, Airtel, 2464, 0, 0, 480, 241, 241, 1, 0.027265, 3e-06, 0.018851, 0.002042, 0.001021, 0., 0.003742, 0.000826, Airtel, 2468, 34, 1, 512, 257, 257, 1, 0.051757, 0.002325, 0.0299, 0.004351, 0.001733, 0.001889, 0.009759, 0.000801, Airtel, 2476, 2, 1, 722, 482, 467, 2, 0.045821, 5.5e-05, 0.020858, 0.002371, 0.001003, 0.006156, 0.011457, 0.002416, Airtel, 2544, 36, 2, 992, 737, 497, 2, 0.070520, 0.000928, 0.026278, 0.00765, 0.002142, 0.009932, 0.019996, 0.002499, 
25, Amres, 5242, 0, 0, 1200, 601, 601, 1, 0.099946, 2e-06, 0.075333, 0.005473, 0.001952, 0., 0.013638, 0.002122, Amres, 5262, 10, 2, 6608, 6008, 4784, 10, 0.302808, 0.000443, 0.071032, 0.005751, 0.001983, 0.041669, 0.143631, 0.035926, Amres, 5294, 24, 6, 5407, 4807, 4207, 7, 0.415161, 0.000531, 0.075291, 0.007127, 0.002489, 0.159476, 0.136023, 0.030029, Amres, 5242, 0, 0, 1200, 601, 601, 1, 0.093834, 3e-06, 0.069483, 0.005128, 0.00208, 1e-06, 0.013541, 0.002117, Amres, 5246, 52, 1, 1250, 626, 626, 1, 0.135737, 0.003717, 0.085958, 0.00959, 0.004223, 0.00805, 0.020793, 0.001911, Amres, 5254, 2, 1, 1802, 1202, 1178, 2, 0.116032, 5e-05, 0.071554, 0.005544, 0.002128, 0.006025, 0.02312, 0.005289, Amres, 5358, 54, 2, 2450, 1826, 1226, 2, 0.174078, 0.002556, 0.084409, 0.010362, 0.004018, 0.023611, 0.038935, 0.008519, 
18, Ans, 2860, 0, 0, 612, 307, 307, 1, 0.039060, 3e-06, 0.025168, 0.002869, 0.003355, 1e-06, 0.005928, 0.000867, Ans, 2880, 10, 2, 3374, 3068, 2439, 10, 0.154407, 0.00032, 0.030177, 0.00242, 0.003184, 0.026111, 0.075721, 0.015104, Ans, 2896, 16, 4, 2147, 1841, 1535, 5, 0.140211, 0.000349, 0.035011, 0.003562, 0.001242, 0.043061, 0.046885, 0.008591, Ans, 2888, 4, 2, 1364, 1023, 377, 3, 0.088237, 0.000104, 0.03131, 0.004774, 0.00107, 0.017875, 0.027773, 0.004137, Ans, 2864, 38, 1, 648, 325, 325, 1, 0.062859, 0.002521, 0.039049, 0.005458, 0.001953, 0.001779, 0.00974, 0.00134, Ans, 2872, 2, 1, 920, 614, 597, 2, 0.051245, 4.9e-05, 0.026625, 0.005204, 0.000931, 0.003741, 0.011319, 0.002463, Ans, 2948, 40, 2, 1260, 937, 631, 2, 0.090585, 0.00136, 0.035888, 0.00663, 0.002389, 0.016397, 0.020214, 0.005186, 
30, Arn, 7492, 0, 0, 1740, 871, 871, 1, 0.141706, 2e-06, 0.112143, 0.007331, 0.002778, 1e-06, 0.013949, 0.003499, Arn, 7512, 10, 2, 9579, 8709, 6940, 10, 0.477148, 0.000394, 0.117945, 0.01043, 0.003279, 0.061943, 0.226283, 0.052309, Arn, 7552, 28, 7, 8708, 7838, 6968, 8, 0.786422, 0.000613, 0.119689, 0.011122, 0.004049, 0.316694, 0.267523, 0.06171, Arn, 7568, 6, 3, 4794, 3835, 1138, 4, 0.409398, 0.000166, 0.126027, 0.010854, 0.004025, 0.099522, 0.148507, 0.017093, Arn, 7496, 62, 1, 1800, 901, 901, 1, 0.203965, 0.006359, 0.133877, 0.01511, 0.006751, 0.00659, 0.029081, 0.002933, Arn, 7504, 2, 1, 2612, 1742, 1713, 2, 0.187155, 5.5e-05, 0.123822, 0.007611, 0.00266, 0.01086, 0.032004, 0.007963, Arn, 7628, 64, 2, 3540, 2641, 1771, 2, 0.281289, 0.004191, 0.145101, 0.017841, 0.007166, 0.031464, 0.059563, 0.011802, 
